,comments,label,token
33,"2,30대 골빈여자들은 이 기사에 다 모이는건가ㅋㅋㅋㅋ 이래서 여자는 투표권 주면 안된다. 엠넷사전투표나 하고 살아야지 계집들은",hate,"['대다', '골', '빈', '여자', '기사', '다', '모이다', '건', '가다', 'ㅋㅋㅋ', '이래서', '여자', '투표', '권', '주다', '안', '되다', '엠넷', '사전투표', '나', '살다', '계집']"
34,2002년도 여름에 봤는데 서지영이랑 스포츠카타고온거...18년전이네 ㅎㅎ,none,"['연도', '여름', '보다', '서다', '지영', '이랑', '스포츠카', '타고', '온', '거년', '전이', '네', 'ㅎㅎ']"
35,2006년 포도밭그사나이에서 흰가운입은 연구원 정소영봐라~!!솔까 대한민국 여배우중에 최고로 이쁘고 단아했다~!!! 급식충들은 멋도모르고 윤아 아이유 떠들겠지만..,hate,"['년', '포도', '밭', '그', '사나이', '에서', '희다', '가운', '입다', '연구원', '정소영', '보다', '솔', '끄다', '대한민국', '여배우', '중', '최고', '로', '쁘', '고', '단아', '급식', '충', '멋', '모르다', '윤아', '아이유', '떠들다']"
36,"200억대 쳐바르고 홍보를 그렇게나했는데 시청률 5.0%가 자랑이라고 올렸냐... 그리고, 남녀 주인공이 비주얼이 너무 심각하고 남녀주연들 사극 말투가 더빙한것마냥 성우스러워서 시청률이 그 모양 그 꼴이잖아...",offensive,"['억대', '처', '바르다', '홍보', '그렇다', '시청률', '가다', '자랑', '이라고', '올리다', '그리고', '남녀', '주인공', '비주', '얼', '너무', '심각하다', '남녀', '주연', '사극', '말투', '더빙', '것', '마냥', '성우', '스럽다', '시청률', '그', '모양', '그', '꼴다']"
37,2014년 카톡은 안지우고 지끔까지 갖고 있었다는게 놀랍다~수집하니~지땜에 장씨 날벼락~,offensive,"['년', '카톡', '안', '지우다', '지다', '끄다', '갖다', '있다', '게', '놀라다', '수집', '지다', '땜', '장', '씨', '날벼락']"
38,2016년 사진이래요 ㅋ,none,"['년', '사진', '이다', 'ㅋ']"
39,2018년 마마 진정한 승자 화사,none,"['년', '마마', '진정하다', '승자', '화사']"
40,2020년이 올거같냐 영배야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,none,"['년', '오다', '거', '같다', '영배', '야', 'ㅋㅋㅋ']"
41,206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔 사정이 있을거같아 중립기어 박아요,none,"['달러', '중', '겨우', '계약금', '수준', '인', '을', '지불', '안', '뭔', '사정', '있다', '거', '같다', '중립', '기어', '박아', '요']"
42,20년연애 너무 멋져요 !! 이제 결혼하셔서 행복한 가정이루시길,none,"['년', '연애', '너무', '멋지다', '이제', '결혼', '행복하다', '가정', '루시', '길']"
43,20년이 넘었다 부모는 속이 타고 억울하겠지만 이젠 묻어둬야지 그렇다면 억울하게 죽은 사람이 얼마나 많을까? 30년 지난 화성사건은 피해가족들은?그땐 가해자도 되었지만 시간이 지난 오늘은 피해자가 될수있다,offensive,"['년', '넘다', '부모', '속이다', '타고', '억울하다', '젠', '묻다', '두다', '그렇다', '억울하다', '죽다', '사람', '얼마나', '많다', '년', '지난', '화성', '사건', '피해', '가족', '그땐', '가해자', '되어다', '시간', '지난', '오늘', '피해자', '되다', '수', '있다']"
44,20년째 열애중? 너무 길다.,none,"['년', '째', '열애', '중', '너무', '길다']"
45,20대 30대 남자 비율보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ할짓 드럽게없나봐... 죽자고 덤벼드는거봐ㅠㅠ,hate,"['대다', '대다', '남자', '비율', '보다', 'ㅋㅋㅋ', '짓', '더럽다', '없다', '보다', '죽다', '덤벼', '들다', '거', '보다', 'ㅠㅠ']"
46,20대다. 연애 많이 해봐라.,offensive,"['대다', '연애', '많이', '해보다']"
47,20살차?? ㅉㅉ,offensive,"['살', '차', 'ㅉㅉ']"
48,21C에 주술사랑 ...,none,"['주술사', '랑']"
49,24살인데 술을먹어 발랑까졋네 고딩때도 먹엇을듯,offensive,"['살', '인데', '술', '을', '먹다', '발랑', '까졋', '네', '고등학생', '때', '먹다', '듯']"
50,25년전이면 한참 팔팔할때.. 오달수도 아마 이십대 초반.. 서로 어렸을때 반콩깠던거 같은데..저렇게 따지면 이세상에 성범죄자 아닌인간이 있을까 무섭다,offensive,"['년', '전이', '면', '한참', '팔팔하다', '때', '오', '달', '수도', '아마', '이십', '대다', '초반', '서로', '어리다', '때', '반공', '끄다', '거', '같다', '저렇게', '따다', '세상', '성범죄자', '아니다', '인간', '있다', '무섭다']"
51,25년전이면오달수도 혈기왕성할때인데 그럴수도 있을듯 그리고 이제와서 25년일을 말하는사람도 참 이해못하겠네 혓재에 충실하고 살지 참,none,"['년', '전이', '면', '오', '달', '수도', '혈기', '왕성', '때', '인데', '그렇다', '수도', '있다', '듯', '그리고', '이제', '오다', '년', '일', '을', '말', '사람', '차다', '이해', '못', '혁재', '충실하다', '살', '지', '차다']"
52,26년 최수종님처럼 한결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게만 살아도 싸울일 반으로 줄이고 아내 행복하게 만들어줌,none,"['년', '최수종', '님', '처럼', '결', '같다', '힘들다', '서로', '양보', '하고', '배려', '비슷하다', '만', '살다', '싸우다', '일', '반', '줄', '이고', '아내', '행복하다', '만들다', '줌']"
53,290억 아니고?,none,"['억', '아니다']"
54,29살까지 온갖 수단 다 동원해서 입대 연기하며 발악하다가 어쩔수없이 끌려가는게 머가 대단하다고 오바질이야 ㅋㅋ,hate,"['살', '까지', '온갖', '수단', '다', '동원', '입대', '연기', '발', '악하다', '어쩔', '수', '없이', '끌리다', '게', '머', '대단하다', '오', '나', '질', '이야', 'ㅋㅋ']"
55,2~30대녀 :(쿵쾅쿵쾅) 꿀꿀꿀!!!!!!,hate,"['대', '녀', '쿵쾅', '쿵쾅', '꿀꿀', '꿀']"
56,2년 사귀었으면 ... 서로 온몸의 점 위치까지 다알 듯 ㅋㅋㅋ,offensive,"['년', '사귀다', '서로', '온몸', '점', '위치', '까지', '다', '알', '듯', 'ㅋㅋㅋ']"
57,2년도안되 ㅇㅈㅎ 양아치에게 통수 맞으니 분하겠죠 ......그동안 sns에서 충분히 느낄 수 있었ㆍ새로운 삶을 사세요,offensive,"['연도', '안', '돼다', 'ㅇㅈㅎ', '양', '아치', '에게', '통수', '맞다', '분하다', '그동안', '에서', '충분하다', '느끼다', '수', '있다', '새롭다', '삶', '을', '사다']"
58,2박2일은 뭐니? 기레기야,hate,"['박', '일', '뭐', '니', '기르다', '기', '야']"
59,2차로 남자집을 왜 가.무조건 남자만 탓 할 일은 아니다.명백히 가려지길...,offensive,"['차로', '남자', '집', '을', '왜', '가다', '무조건', '남자', '만', '탓', '일', '아니다', '명백하다', '가려지다']"
60,2천만원짜리 조리원하며고기집 외식하며...참 가지가지 한다ㅋㅋㅋㅋㅋ관심병으로 더아프신거 아닌감??아무튼 건강하다니 다행이네...ㅋㅋㅋ,offensive,"['천만', '원', '짜다', '조리', '원하다', '고깃집', '외식', '차다', '가지', '지다', 'ㅋㅋㅋ', '관심', '병', '더', '아프다', '신다', '아니다', '감', '아무튼', '건강하다', '다행하다', '네', 'ㅋㅋㅋ']"
61,30넘어서 공익가는 꼴이란ㅋㅋㅋㅋㅋ진짜 모냥빠진다ㅋㅋㅋ,offensive,"['넘어서다', '공익', '가다', '꼴', '이란', 'ㅋㅋㅋ', '진짜', '모양', '빠지다', '다', 'ㅋㅋㅋ']"
62,30대 아줌마들 남에 집에 감놔라배놔라 ㅋㅋㅋㅋㅋ,offensive,"['대다', '아줌마', '남', '집', '감', '놓다', '배', '놓다', 'ㅋㅋㅋ']"
63,30대 아줌마들;; 고만들 하세요;,offensive,"['대다', '아줌마', '고', '만들다']"
64,30대 여자들은 군대도 안가는데 군대 이야기에 이렇게 관심이 많을까?? 젤 싫어하는 이야기 탑3라면서??,offensive,"['대다', '여자', '군대', '안', '가다', '군대', '이야기', '이렇게', '관심', '많다', '젤', '싫어하다', '이야기', '타다']"
65,30대 여자비율이 가장높은거보니 고소영이뻐요 하는 이유를 알겠다 ^^ 여자들아 진심으로 한마디 하겠는데 30대 여자는 진심으로 여자로 아예안보여요~^^,hate,"['대다', '여자', '비율', '가장', '높다', '거', '보다', '고소영', '뻐', '요', '이유', '알다', '여자', '아', '진심', '한마디', '대다', '여자', '진심', '여자', '로', '아예', '안', '보이다']"
66,30대여자들 한혜진 빙의해서 악플다는거 진짜 안쓰럽고 역겹다 본인인생이나 잘살기를 젊은여자들 질투하지말고,offensive,"['대', '여자', '한혜진', '빙의', '악플', '달다', '거', '진짜', '안쓰럽다', '역겹다', '다', '본인', '인생', '이나', '자다', '살기', '젊다', '여자', '질투', '말고']"
67,33살이 청년임? 아저씨아님?,hate,"['살이', '청년', '임', '아저씨', '아니다']"
68,38살 되도록 시집못갔으면 뭔가 문제있는 여자 아닌가?? 건모형 그냥 거르세요...상대할 필요도 없어요...,hate,"['살', '되다', '시집', '못', '가다', '뭔가', '문제', '있다', '여자', '아니다', '건', '모형', '그냥', '거르세', '요', '상대', '필요', '없다']"
69,38세48세로 잘못적은거아닌가ㅋㅋㅋㅋ할정도로 동안이네요~~~,none,"['세', '세로', '잘못', '적다', '거', '아니다', 'ㅋㅋㅋ', '정도', '로', '동', '안이', '네', '요']"
70,39세라고 나와있구만 ㅡㅡ 양세종은 20대 아님???,none,"['세라', '고', '나오다', '있다', 'ㅡㅡ', '양세종', '대다', '아니다']"
71,3명중에 최종훈이 제일 잘생겼네요♡,none,"['명중', '최종훈', '제일', '잘생기다']"
72,"3번으로 탈락을 면 했군, 이제 술수를 부리지말라~티가난다!",none,"['번', '탈락', '을', '면', '이제', '술수', '부리', '지', '말', '내', '티', '나다']"
73,3일에 12억원어치 팔만큼 파급력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.,none,"['일', '억', '원', '어치', '팔', '만큼', '파급', '력', '있다', '사람', '이다', '왜', '다', '들다', '조롱', '만', '하나요', '자다', '알', '지', '못', '더', '더욱', '함부로', '말', '안', '되다']"
74,40-50대로 가야지..할매를 부르면 우야노,hate,"['대로', '가야', '지', '할미', '부르다', '우', '야노']"
75,40대 아줌마 지들 자식들은 피씨방에 있고 엄마들은 방탄 동영상 처보고 있다고 생각해봐라 그래놓고 경포대 문재인 아몰랑 지지하고 어후 토나와,hate,"['대다', '아줌마', '자기', '자식', '피시방', '있다', '엄마', '방탄', '동영상', '처', '보고', '있다', '생각', '해보다', '그렇다', '경포대', '문재인', '아', '몰다', '지지', '하고', '어', '후', '구토', '나오다']"
76,40대 아줌마들 댓글비율좀봐....,offensive,"['대다', '아줌마', '댓글', '비율', '보다']"
77,40대 여자들이 나이값못하고 현빈 멋있다고 하악하악 거리는거 개극혐ㅋㅋㅋㅋ당신들의 튀어나온 뱃살과 흉측한 얼굴을보고 반성하길바람^^;;;,hate,"['대다', '여자', '나잇', '값', '못', '하고', '현빈', '멋있다', '하악하악', '거리', '거', '개국', '혐', 'ㅋㅋㅋ', '당신', '튀어나오다', '뱃살', '흉', '측안', '얼굴', '을', '보고', '반성', '바람']"
78,40대 이모라 집중이 안됨... 20살 초반으로좀 캐스팅좀 ㅠㅜㅠㅜ,offensive,"['대다', '이모', '라', '집중', '안', '되다', '살', '초반', '캐스팅', 'ㅠㅜㅠ']"
79,40대늙은이 32% 돌아이련들...쯧쯧쯧,hate,"['다', '늙다', '돌다', '이다', '들다', '쯧쯧', '쯧']"
80,40살에 폐경에 다리까지 노답이라이 ㅋㅋㅋ,hate,"['살', '폐경', '다리', '까지', '노', '답', '이라', 'ㅋㅋㅋ']"
81,40살여자랑 로맨스 ㅋㅋ별로다,offensive,"['살', '여자', '랑', '로맨스', 'ㅋㅋ', '별로', '다']"
82,40세 이상 한녀들은 임신도 못하는 사실상 쓸모없는 분리수거 대상,hate,"['세', '이상', '녀', '임신', '못', '사실', '상', '쓸모없다', '분리수거', '대상']"
83,40이다 상관 없다는 넘들 애들이군,offensive,"['다', '상관없다', '놈', '애', '들이다']"
84,43.1 이라 .. 행복해서 살쪘다는걸 보여주고싶은건가? 아니면 임...신?,offensive,"['이르다', '행복하다', '살찌다', '걸', '보여주다', '싶다', '건', '가다', '아니다', '임신']"
85,45가 정상인가? 애들이 따라할까 무섭다,offensive,"['가다', '정상', '인가', '애', '따르다', '무섭다']"
86,"45억 빚진것도 신기하고, 그 빚을 이미 완전 인기가 저물어도 몇년만에 갚는다는게 더 신기하다. 그러면 홍진영 이런애들은 1년에 얼마 번다는거야 ㅋㅋ",none,"['억', '빚진', '것', '신기하다', '그', '빚', '을', '이미', '완전', '인기', '저물다', '몇', '년', '만에', '갚다', '게', '더', '신기하다', '그러면', '홍진영', '이렇다', '애', '년', '얼마', '번', '달다', '거야', 'ㅋㅋ']"
87,47kg면 내 몸무겐데 난 소멸되겠다.ㅎㅎ,none,"['면', '내', '몸무게', '인데', '난', '소멸', '되다', 'ㅎㅎ']"
88,47살에 출산?,offensive,"['살', '출산']"
89,4년전정준영카톡이 이게 이렇게 큰일이냐?ㅋ 더럽네정말.. 누가봐도 꼬리짜르기구만,offensive,"['년', '전', '정준영', '카톡', '게', '이렇게', '큰일', '이냐', 'ㅋ', '더럽다', '정말', '누가', '보다', '꼬리', '짜르', '기구', '만']"
90,4억 장윤정에게는 껌값일텐데 비정한딸,offensive,"['억', '장윤정', '에게는', '껌값', '이리', '텐데', '비정하다', '딸']"
91,52도 빼야되냐,none,"['빼다', '되다']"
92,52면 날씬한건데..,none,"['면', '날씬하다', '거', '인데']"
93,52키로 딱 좋앙~~~,none,"['키로', '딱', '좋다']"
94,52퍼 되는 여자들 강한나 테러하네 ㅋㅋ 그만들 하세요 님들 너무 추해 보임,hate,"['퍼', '되다', '여자', '강한나', '테러', 'ㅋㅋ', '그', '만들다', '님들', '너무', '추하다', '보임']"
95,53살 아빠면 어때 아빠가 곽부성인데.... 축하해요,none,"['살', '아빠', '면', '어', '때', '아빠', '곽부성', '인데', '축하']"
96,5명이랑 관계하면 거기 아플텐데... 누구말이 맞는건지.. 에휴,offensive,"['명', '이랑', '관계', '거기', '아프다', '텐데', '누구', '말', '맞다', '건지다', '휴']"
97,"60만원으로 무슨 5억 피해입은 마냥 폭로하는 놈도 그렇고, 60만원을 안 갚고 쌩깠던 매니저 놈도 그렇고.. 참 안습이다.. 인간들 요즘 왜 그런지 참 ㅉㅉ... 신상털기, 먼지털기가 인생 낙인갑다..",none,"['만', '원', '무슨', '억', '피해', '입다', '마냥', '폭로', '놈', '그렇다', '만', '원', '을', '안', '갚다', '무시', '매니저', '놈', '그렇다', '차다', '안습', '다', '인간', '요즘', '왜', '그렇다', '차다', 'ㅉㅉ', '신상털기', '먼지', '털다', '인생', '낙인', '가다']"
98,60에서 14면티가나는데 120에서 14면 흠,none,"['에서', '면', '티', '나', '데', '에서', '면', '흠']"
99,68%의 아줌마들아. 니들 자식들한테 고운말 하라고 가르치냐? 니들 댓글 모음이나 자식들 보여줘라,offensive,"['아줌마', '아', '너희', '자식', '한테', '곱다', '말', '하라', '고', '가르치다', '너희', '댓글', '모음', '이나', '자식', '보여주다']"
100,6명이서 그깟 20년 한거가지고 참 ㅋㅋㅋㅋㅋㅋㅋㅋ강필주는 혼자 20년 기다리고 참아왔다..,offensive,"['명', '에서', '그깟', '년', '거', '가지', '고', '차다', 'ㅋㅋㅋ', '강필', '줍다', '혼자', '년', '기다리다', '참다', '오다']"
101,6명전부 별론데 그나마 저중에 문희준이 제일 인기많았고 돈 많이 벌었고,offensive,"['명', '전부', '별로', '인데', '그나마', '저', '중', '문희준', '제일', '인기', '많다', '돈', '많이', '벌다']"
102,6월 29일 전미선에 이어 7월 31일 박일 성우님... 올해 몇번째 연예계 비보가 내려오는 거죠?,none,"['월', '일', '전미선', '이다', '월', '일', '박일', '성우', '님', '올해', '몇', '번째', '연예계', '비보', '내려오다', '거', '죠']"
103,75% 여성비율 30대 37% ㅎㄷㄷ 능력있는 한국남성분들 국제결혼이 답입니다. 일본여자 노려보세요,offensive,"['여성', '비율', '대다', 'ㅎㄷㄷ', '능력', '있다', '한국', '남성', '분들', '국제', '결혼', '답', '이다', '일본', '여자', '노려보다']"
104,79년생 하하 아직도 초딩캐릭터 아냐? 김종민도 그렇고 어른 이미지로 가는거 별로 안좋아할텐데,none,"['년생', '하하', '아직도', '초등학생', '캐릭터', '알다', '김종민', '그렇다', '어른', '이미지', '로', '가다', '거', '별로', '안', '좋아하다', '텐데']"
105,82년생김지영이는 못나오나보네 ㅋㅋㅋㅋ,offensive,"['년생', '김지영', '못', '나오다', '보다', 'ㅋㅋㅋ']"
106,82키로 김지영 왜보냐...? 저런 쓰레기 영화 안봄 ㅋ,hate,"['키로', '김지영', '왜', '보다', '저런', '쓰레기', '영화', '안', '봄', 'ㅋ']"
107,90년대일을 이제와서 웨꺼내구 그러시는지 사실맞는지두 확인안되구 참,none,"['년', '때', '일', '을', '이제', '오다', '왜', '끄다', '내다', '그렇다', '사실', '맞다', '두', '확인', '안되다', '차다']"
108,9살 딸이 지금까지 본 주말 드라마 중에 제일 재미없어!!하고 끄고 양치하고 잠.. 새나라의 어린이로 만들어주는 드리마.. 최수종배우님 죄송ㅜㅜ,offensive,"['살', '딸', '지금', '까지', '보다', '주말', '드라마', '중', '제일', '재미없다', '끄다', '양치', '하고', '잠', '새', '나라', '어린이', '로', '만들다', '드리다', '최수종', '배우', '님', '죄송', 'ㅜㅜ']"
109,? 대세배우 ?,none,"['대세', '배우']"
110,? 여태껏 동거한거에요?,offensive,"['여태껏', '동거', '거', '예요']"
111,???그냥 눈화장 색이 변한거 같은데.. 뭐가 달라진거죠??톤만 좀 연해진거 같은데..,none,"['그냥', '눈', '화장', '색', '변하다', '거', '같다', '뭐', '달라지다', '거', '죠', '톤', '만', '연하다', '거', '같다', '데']"
112,B급 가수.. 가수라 하기도 애매하다,offensive,"['급', '가수', '가수', '라', '애매하다']"
113,Edm 천재 박명.수,none,"['천재', '박명수']"
114,Ft아일랜드 이홍기 원맨쇼지 ㅋㅋㅋ 나머지 멤버 무쓸모,offensive,"['아일랜드', '홍기', '원', '맨', '쇼지', 'ㅋㅋㅋ', '나머지', '멤버', '무', '쓸모']"
115,HOT 팬들은 사람죽일 정도로 극성이였다든데,hate,"['팬', '사람', '죽이다', '정도', '로', '극성', '이다', '들다', '데']"
116,JTBC 는 좌빨 방송인데. 이래서 여자들이 문재앙 좋아하나?,hate,"['늘다', '좌빨', '방송', '인데', '이래서', '여자', '문', '재원', '좋다', '하나']"
117,JTBC 드라마는 기대가 하나도 안됨. 본적도 없어. TVN에서 만들면 모를까,offensive,"['드라마', '기', '대가', '하나', '안되다', '보다', '적도', '없다', '만들다', '모르다']"
118,JYP에서 연습생 한 3년은 해라,none,"['에서', '연습생', '년', '해', '라']"
119,KBS 주말극은 한번씩 꿀잼 노잼 하는것 같다 황금빛 보다가 이건 못보겠다 연기들이 너무 발연기다,offensive,"['주말', '극', '번', '씩', '꿀', '잼', '나', '잼', '것', '같다', '황금', '빛', '보다', '가다', '것', '못', '보다', '연기', '너무', '발', '연기', '다']"
120,KBS 주말드라마 인가요?,none,"['주말', '드라마', '인가요']"
121,KBS에서 이영자한테 대상준게 이해안됨 안녕하세요 시창률도 그닥인데 차라리 이동국을 주지 왜!,offensive,"['에서', '영자', '한테', '대상', '준', '게', '해안', '되다', '안녕하다', '시청률', '별로', '인데', '차라리', '이동국', '을', '주지', '왜']"
122,M&A전문가란 직업이 있어요?^^PF금융업억 종사하는데 저런 직업은 처음.ㅋ,none,"['전문가', '란', '직업', '있다', '요', '금융업', '억', '종사', '저런', '직업', '처음', 'ㅋ']"
123,Mbc 주말 드라마 다시했으면 ㅠㅠ,none,"['주말', '드라마', '다시', 'ㅠㅠ']"
124,Metoo운동은 무슨 얼어죽을... 마녀사냥이지...youtoo운동으로 대항해야함,hate,"['운동', '무슨', '얼다', '죽', '을', '마녀사냥', '지', '지', '운동', '대항', '함']"
125,No no japan!!! 필요없다,hate,"['필요', '없다']"
