,label,token
62,offensive,"['대', '아줌마', '남', '집', '감', '놔라', '배', '놔라', 'ㅋㅋ']"
63,offensive,"['대', '아줌마', '고만', '세요']"
64,offensive,"['대', '여자', '군대', '안', '는데', '군대', '이야기', '이렇게', '관심', '많', '을까', '젤', '싫', '어', '이야기', '탑', '라면서']"
65,hate,"['대', '여자', '비율', '가장', '높', '거', '보', '니', '고소영', '이뻐요', '이유', '알', '겠', '여자', '아', '진심', '한마디', '겠', '는데', '대', '여자', '진심', '여자', '로', '아예', '안', '보여요']"
66,offensive,"['대여자', '한혜진', '빙의', '해서', '악', '플', '다는', '거', '진짜', '안쓰럽', '역겹', '본인', '인생', '이나', '살', '기', '젊', '여자', '질투', '말']"
67,hate,"['살', '청년', '아저씨', '아님']"
68,hate,"['살', '도록', '시집', '못', '갔', '으면', '뭔가', '문제', '있', '여자', '아닌가', '건모', '형', '그냥', '거르', '세요', '상대', '할', '필요', '없', '어요']"
69,none,"['세세', '로', '잘못', '적', '거', '아닌가', 'ㅋㅋ', '할', '정도', '로', '동안', '네요']"
70,none,"['세', '라고', '나와', '있', '구만', 'ㅡㅡ', '양세종', '대', '아님']"
71,none,"['명', '중', '최종훈', '제일', '생겼', '네요']"
72,none,"['번', '탈락', '했', '군', '이제', '술수', '부리', '말', '라', '티', '난다']"
73,none,"['일', '억', '원', '어치', '팔', '만큼', '파급', '력', '있', '사람', '입니다', '왜', '조롱', '나요', '알', '못한다면', '더더욱', '함부로', '말', '안', '죠']"
74,hate,"['대', '로', '가야지', '할매', '부르', '우야노']"
75,hate,"['대', '아줌마', '자식', '피', '씨방', '있', '엄마', '방탄', '동영상', '처', '보', '있', '다고', '생각', '해봐라', '그래', '놓', '경포대', '문재인', '아몰', '랑', '지지', '어후', '토', '나와']"
76,offensive,"['대', '아줌마', '댓글', '비율', '봐']"
77,hate,"['대', '여자', '나이', '값', '못', '현빈', '멋있', '다고', '하악', '하악', '거리', '거', '개', '극', '혐ㅋㅋ당신들의', '튀어나온', '뱃살', '흉측', '얼굴', '보', '반성', '길', '바람']"
78,offensive,"['대', '모라', '집중', '안', '됨', '살', '초반', '캐스팅', 'ㅠㅜㅠㅜ']"
79,hate,"['대', '늙은이', '돌', '아이', '련', '쯧쯧쯧']"
80,hate,"['살', '폐경', '다리', '까지', '노', '답', '라이', 'ㅋㅋㅋ']"
81,offensive,"['살', '여자', '랑', '로맨스', 'ㅋㅋ', '별로']"
82,hate,"['세', '이상', '녀', '임신', '못하', '사실', '상', '쓸모없', '분리수거', '대상']"
83,offensive,"['상관', '없', '다는', '넘', '애', '군']"
84,offensive,"['라', '행복', '해서', '살쪘', '다는', '걸', '보여', '주', '싶', '건가', '아니', '임신']"
85,offensive,"['정상', '인가', '애', '따라', '할까', '무섭']"
86,none,"['억', '빚진', '것', '신기', '그', '빚', '이미', '완전', '인기', '저물', '어도', '몇', '년', '갚', '는다는', '더', '신기', '그러', '홍진영', '이런', '애', '년', '얼마', '번다는', '거', '야', 'ㅋㅋ']"
87,none,"['내', '몸', '무', '겐데', '난', '소멸', '겠', 'ㅎㅎ']"
88,offensive,"['살', '출산']"
89,offensive,"['년', '전', '정준영', '카톡', '이게', '이렇게', '큰일', '냐', 'ㅋ', '더럽', '정말', '누가', '봐도', '꼬리', '짜르', '기', '구만']"
90,offensive,"['억', '장윤정', '에게', '껌', '값', '일', '텐데', '비정', '딸']"
91,none,"['빼', '야', '냐']"
92,none,"['날씬', '건데']"
93,none,"['키', '로', '딱', '좋', '앙']"
94,hate,"['퍼', '여자', '강한', '나', '테러', 'ㅋㅋ', '그만', '세요', '님', '너무', '추해', '보임']"
95,none,"['살', '아빠', '어때', '아빠', '곽부성', '인데', '축하', '해요']"
96,offensive,"['명', '이랑', '관계', '거기', '아플', '텐데', '누구', '말', '맞', '건지', '에휴']"
97,none,"['원', '무슨', '억', '피해', '입', '마냥', '폭로', '놈', '그렇', '원', '안', '갚', '쌩깠', '던', '매니저', '놈', '그렇', '참', '안습', '인간', '요즘', '왜', '그런지', '참', 'ㅉㅉ', '신상', '털기', '먼지', '털기', '인생', '낙', '인갑다']"
98,none,"['에서', '티', '나', '데', '에서', '흠']"
99,offensive,"['아줌마', '아', '니', '자식', '한테', '고운', '말', '라고', '가르치', '냐', '니', '댓글', '모음', '이나', '자식', '보여줘라']"
100,offensive,"['명', '서', '그깟', '년', '거', '가지', '참', 'ㅋㅋ', '강필', '주', '혼자', '년', '기다리', '참', '아', '왔']"
101,offensive,"['명', '전부', '별론데', '그나마', '저', '중', '문희준', '제일', '인기', '많', '았', '돈', '많이', '벌', '었']"
102,none,"['월', '일', '전미선', '이어', '월', '일', '박', '일', '성우', '님', '올해', '몇', '번', '째', '연예계', '비보', '내려오', '거', '죠']"
103,offensive,"['여성', '비율', '대', 'ㅎ', 'ㄷ', 'ㄷ', '능력', '있', '한국', '남성', '분', '국제', '결혼', '답', '입니다', '일본', '여자', '노려보', '세요']"
104,none,"['년', '생', '하하', '아직', '초딩', '캐릭터', '아냐', '김종민', '그렇', '어른', '이미지', '로', '거', '별로', '안', '좋아할', '텐데']"
105,offensive,"['년', '생', '김지영', '못', '나오', '나', '보', 'ㅋㅋ']"
106,hate,"['키', '로', '김지영', '왜', '보', '냐', '저런', '쓰레기', '영화', '안', '봄', 'ㅋ']"
107,none,"['년', '대일', '이제', '와서', '웨', '꺼내', '구', '그러', '시', '는지', '사실', '맞', '는지', '두', '확인', '안', '구', '참']"
108,offensive,"['살', '딸', '지금', '까지', '본', '주말', '드라마', '중', '제일', '재미없', '어', '끄', '양치', '잠', '새', '나라', '어린이', '로', '만들', '어', '주', '드리마', '최수종', '배우', '님', '죄송', 'ㅜㅜ']"
109,none,"['대세', '배우']"
110,offensive,"['여태껏', '동거', '거', '에요']"
111,none,"['그냥', '눈', '화장', '색', '변한', '거', '같', '은데', '뭐', '달라진', '거', '죠', '톤', '연', '해진', '거', '같', '은데']"
112,offensive,"['급', '가수', '가수', '라', '기', '애매']"
113,none,"['천재', '박명수']"
114,offensive,"['아일랜드', '이홍기', '원맨쇼', 'ㅋㅋㅋ', '나머지', '멤버', '무', '쓸모']"
115,hate,"['팬', '사람', '죽일', '정도', '로', '극성', '였', '든데']"
116,hate,"['좌', '빨', '방송', '인데', '이래서', '여자', '문', '재앙', '좋', '아', '하나']"
117,offensive,"['드라마', '기대', '하나', '안', '됨', '본', '적', '없', '어', '에서', '만들', '모를까']"
118,none,"['에서', '연습생', '년', '해라']"
119,offensive,"['주말', '극', '번', '씩', '꿀', '잼', '노', '잼', '것', '같', '황금빛', '보', '다가', '이건', '못', '보', '겠', '연기', '너무', '발연기']"
120,none,"['주말', '드라마', '인가요']"
121,offensive,"['에서', '이영자', '한테', '대상', '준게', '이해', '안', '됨', '안녕', '세요', '시창', '률', '그', '닥', '인데', '차라리', '이동국', '주', '왜']"
122,none,"['전문가', '란', '직업', '있', '어요', '금융업', '억', '종사', '는데', '저런', '직업', '처음', 'ㅋ']"
123,none,"['주말', '드라마', '다시', '했', '으면', 'ㅠㅠ']"
124,hate,"['운동', '무슨', '얼', '어죽', '마녀', '사냥', '운동', '대항', '해야', '함']"
125,hate,"['필요', '없']"
126,hate,"['조개', '갖', '개', 'ㅈ', 'ㄹ', '태', '콩', '이나', '개', '촐싹대', '조', '샌', '징', '이나', 'ㅈ', 'ㄴ', '웃', '김', 'ㅋㅋㅋ']"
127,hate,"['모임', '뉴스', '분도', '못', '나오', '뒷방', '류', '아', '나라', '잃', '것', '업', '시', '친문', '좌파', '방송국', '설립', '려고', '아', '나', '퇴사', '개', '쌉친아나들', '꾸', '번지르', '속', '맘', '충', '동급', '소신', '지키', '아', '나', '로서', '소명', '배', '현진', '새삼', '이쁘']"
128,hate,"['옆', '들이', '침', '흘리', '면서', '있', '다는', '걸', '모르', '뇬', '있', '무조건', '남자', '혐오증', '걸리', '말', '연예인', '인기인', '라면', '빤', '쯔', '흘리', '뇬', '얼마나', '많', '은지', '모르', '나']"
129,offensive,"['라서', '그런지', '울', '때', '표정', '안', '찡그려']"
130,none,"['뉴스', '연예', '중계', '냐', '연예인', '아니', '기사', '쓸', '거', '없', '어']"
131,hate,"['아닌가요', '이제']"
132,none,"['핍박', '당하', '여기', '서', '끝', '났', '다고', '생각', '십니까', '인생', '항상', '반전', '있', '습니다', '무죄', '로', '밝혀', '이제', '배우', '로', '열심히', '활동', '됩니다']"
133,none,"['올리', '건', '문제', '아닌데', '이걸', '기사', '로', '만들', '어', '진다는', '문제', '아닐까', 'ㅋㅋ']"
134,offensive,"['조선', '띄', '어', '줬', '는데', '당연', '줘야', '한다고', '보', '희', '트', '곡', '하나', '없', '는데', '아무리', '그래도', '행사비', '이렇게', '많이', '받', '다니', '이런', '훅', '갑니다']"
135,offensive,"['쳤으면', '야', 'ㅋㅋ', '방송', '에서', '저딴', '식', '표현', '건', '문제', '있', '다고', '생각', '는데', '그리고', '몰카', '범죄', '룰', '우려', '메세지', '쓸', '거', '였으면', '다르', '표현', '할', '방법', '충분히', '많', '았', '제발', '일차원', '적', '생각', '마세요']"
136,offensive,"['인기', '나', '인지도', '워너', '원', '안', '될', '것', '같', '습니다', '멤버', '매력', '없', '어요']"
137,hate,"['같', '한국', '같', '법', '라는', '승리', '놈', '하고', '클럽', '뭐', '어쩌', '관련', '잇', '던', '애', '아니', '엇', '나', '그런데', '얼쩡거리', '드나들', '던', '애', '연예계', '방송가', '에서', '퇴출', '여자', '연예인', '인물', '그리도', '없', '어', '내', '추천', '해', '주', '까']"
138,offensive,"['제국', '부활', '빅뱅', '컴백', '해서', '방탄', '밟']"
139,offensive,"['올해', '아이콘', '빅뱅', '위너', '블', '핑', '대박', '나', '니까', '블', '핑', '빌보드', '뜨', '날', '몰', '아서', 'ㅈ', 'ㄹ', '그래도', '나가']"
140,none,"['망하', '안', '이유', '걸', '그룹', '독보', '적', '원', '톱', '블랙', '핑크', '때문', '라도', '흥', '해야함']"
141,offensive,"['쉐', '키', '꼴', '보', '기', '싫', '이제', '그만', '나와라', '뉴스']"
142,hate,"['걸', '그룹', '가치', '있', 'ㅋㅋㅋ', '요즘', '아이돌', '살', '넘', '어도', '늙', '거', 'ㅋㅋㅋ', '아이즈', '원', '장원영', '안유진', '유나', '같', '애', '봐라', '살', '니까', '존나', '쩔', 'ㅋㅋㅋ', '여자', '무조건', '어린', '최', '고임']"
143,offensive,"['급', '기사', '쓰', '말']"
144,none,"['이제', '개', '씩', '터지', '는구나']"
145,none,['짱']
146,none,"['겠', '저걸', '실제로', '했을까']"
147,none,"['좋', '아서', '기대', '했', '는데', '페이크', '러브', '정말', '실망', '좋', '다는', '사람', '방탄', '팬', '라는', '입장', '떠나', '서', '만일', '신인', '그룹', '같', '노래', '불렀', '쳐도', '과연', '좋', '다고', '할', '수', '있', '나', '뮤', '비', '오글거리']"
148,none,"['에서', '장난', '라고', '서로', '때리', '욕', '나', '봐요', '누가', '입사', '싶', '어', '나요']"
149,none,"['대', '행진', '아나운서', '줄', '알', '았', '는데']"
150,offensive,"['박준형', '기사', '싫', '어', '합니다']"
151,offensive,"['밀어주', '건', '일단', '의심', '부터', '해야함']"
152,none,"['구내식당', '진짜', '모든', '회사', '중', '에서', '갑', '더라']"
153,hate,"['니', '같', '개돼지', '있', '어서', '개한', '민국', '엉망진창', '거', '야', '주제', '알', '아야지', '일', '베', '충', '만큼', '개돼지', '문', '베', '충', '나라', '문화', '방송', '말아먹', '쓰레기']"
154,hate,"['요즘', '일반인', '섭외', 'ㅈ', 'ㄴ', 'ㅋㅋ', '한심']"
155,hate,"['몽', '욕', '면서', '약', '쟁이', '칭찬', '냐', '반칙', '딴', '메달', '무슨', '정당', '성', '있', '다고', '에휴', '개돼지']"
156,hate,"['여성', '중', '가장', '욕', '없', '꿀', '빨러', '핑계', '대기', '일상', '한국', '여자', '전', '세계', '아니', '선진국', '여자', '비비', '면서', '임금', '문제', '거론', '가장', '어이없']"
157,none,"['로', '열애', '인정', '해서', '맞', '거', '아녀']"
158,none,"['무슨', '천', '명훈', '말', '없이', '하차', '시켜요', '천명훈', '까리', '거', '방송', '나왔', '습니다']"
159,none,"['진짜', '또', '걸리', '냐', 'ㅋㅋㅋ', '불쌍']"
160,offensive,"['조선', '서', '키워', '줬', '더니', 'ㅋ']"
161,hate,"['안마', '제이', '튠', '주식', '먹', '튀', 'ㅆㄹㄱ']"
162,none,"['고재근', '선생', '줄', '알', '았']"
163,none,"['이사', '지만', '저', '사람', '좋', '사람', '일', '수', '있', '겠', '확실', '건', '잠잠', '다가', '소속', '사', '이미지', '바닥치', '니까', '계속', '여기저기', '나오', '기사', '뜨', '건', '기분', '탓', '아닐', '걸', '그런', '건', '별로']"
164,offensive,"['음악', '영원', '케이', '팝', '음악', '없', '으면', '음악', '커지', '겠', '지요']"
165,none,"['내', '나이', '쉰', '살', '인데', '순간순간', '옛', '기억', '떠오를', '때', '부끄러워', '나', '혼자', '몸', '오그라들', '때', '있', '는데', '공', '배우', '님', '그런', '느낌', '아닌', '까요']"
166,none,"['ㅅ', '희', '나오', '나', '서', '전혀', '독특', '해', '보이', '않', '그리고', '설리', '잘못', '것', '없', 'ㅡㅡ']"
167,offensive,"['그', '성별', '산이', '향한', '피', '쉴드', '오지', 'ㄷ', 'ㄷ']"
168,hate,"['노무현', '않', '다행', '네요']"
169,offensive,"['꼰대', '특징', '나', '때', '말', '야', '누가', '뭐', '라고', '괴롭히', '든', '참', '버티', '다녔', '어', '그만', '일', '로', '그러', '냐', 'ㅉㅉ', '약해', '빠져', '가지', '구', 'ㅉㅉ', '원래', '사회', '생활', '그래']"
170,none,"['그러', '보', '홍상수', '김민희', '진짜', '예쁜', '사랑', '거', '였', '구나']"
171,hate,"['속보', 'ㅈ', '됐', '국민', '가수', '조용필', '빨갱이', '마', '조용필', '저거', '고향', '으', '데', '전라도', '아이라', '카이']"
172,offensive,"['정용화', '오빠', '죄인', '김연아', '박지성', '죄인', '오빠', '군대', '다녀오', '세요']"
173,hate,"['기사', '에서', '윤', '총경', '승리', '전라도', '동향', '서로', '술', '먹', '골프', '승리', '외', '운영', '술집', '영업', '정지', '외', '계속', '봐', '주', '태어나', '말', '분리', '어야', '할', '절', '라도']"
174,none,"['그래도', '반성', '거', '같', '은데', '그냥', '넘어가', '든가']"
175,offensive,"['시즌', '원', '사람', '아무', '없']"
176,offensive,"['충격', '결국', '하나', '경', '맞', '았', '강은비', '그렇게', '안', '봤', '는데']"
177,offensive,"['ㄱ', 'ㅣ', '사', '쓸', '없', '구나', '이딴', '기사', '나오', '봐야', '다니']"
178,none,"['ㄴ', 'ㅏ경원', '미모', '봐라', '실화', '냐']"
179,hate,"['ㄴ', '약', '쟁이']"
180,offensive,"['ㄹ', 'ㅇ', '관', '종']"
181,hate,"['ㅁ', 'ㅊ', '약', '쟁이', '슬슬', '기어나오', '시', '구요']"
182,offensive,"['ㅅ', 'ㄹ', '쏘', '아', '올린', '핵폭발']"
183,hate,"['ㅅ', 'ㅂ', '더럽', '메', '갈', '어로', '제목', '뽑', '거', '봐라']"
184,hate,"['ㅅ', 'ㅂ', '모르', '저런', '거', '알', '저랬', '겠', '냐', '꼰대', '새', '키', '드럽', '말', '많', 'ㅋㅋㅋ']"
185,hate,"['ㅅ', 'ㅅ', '자랑', 'ㅈ', 'ㅅ', '로', '그것']"
186,hate,"['ㅅ', 'ㅅ', '언제', '셨', '나요']"
187,offensive,"['ㅅ', '궁합', '안', '맞', '았', '나', '보다', 'ㅠ']"
188,hate,"['ㅆㄹㄱ와', '같', '한남', '말', '무시', '셔요', '우리', '팜', '므파탈', '나래', '씨']"
189,hate,"['ㅆ성과들과', '비교', '안', '자연미', '너무', '좋', '거의', '이영애', '배우', '급', '미모']"
190,hate,"['ㅇㄴ', '씨', '뱅', '마약', '것', '성추행', '것', '아닌데', '무안', '줫다고', '존', 'ㄴ', 'ㄹ', 'ㅏㄹ하네ㅋㅋ', '여자', '연예인', '감히', '생글거리', '않', '았', '다고', '기사', '헤드라인', '까지', '비꼬', '기', '시전']"
191,none,"['ㅇㄴㅇ', '맴', '버', '중', '명', '친할', '법', '한데', 'ㅇㅅㅇ', '라던지', '무슨', '일', '있', '었', '던', '거', '냐']"
192,offensive,"['ㅇㅅㅇ', '여자', '싫', '어', '합니다']"
193,offensive,"['ㅇㅇ아프던', '말', '던', '뭔', '상관', '비호', '감', '건', '변함없', '노', 'ㅋㅋ']"
194,offensive,"['ㅇㅏ직', '폐지', '안', '했', '나']"
195,hate,"['ㅇㅣ아즘마는', '조용히', '살', '싶', '다면서', '왜', '자꾸', '기', '어', '나와', '돈', '많이', '벌', '었', '다고', '예능', '에서', '깝치더만진심', '관', '종임']"
196,hate,"['ㅇ정보부에서', '조사', '하나', '봐요', '승리', '곧', '자살', '겠', '아니', '경찰', '질소', '넣', '자살', '했', '다고', '겠']"
197,hate,"['ㅈ', '라인', '너무', '이쁘']"
198,none,"['ㅈ', 'ㄴ', '작위', '적', '느낌']"
199,hate,"['ㅈ', 'ㄹ', '병들', '사기', '치', '던', '절도', '던', '깜', '방서', '있', '어', '봐라', '하루', '라도', '빨리', '나오', '싶', '인간', '본성', '다죄', '미워하', '사람', '똑같']"
200,none,"['ㅈ', 'ㄹ', '염병', 'ㅋㅋ', '재산', '조', '인데', '천억', '안', '내', '머리', '굴리', '다가', '꼬시', '오', '지다']"
201,offensive,"['ㅈ', 'ㄹ', '옘병', '있', '프로그램', '끝', '나', '끝나', '버리', '연애', '따위', '이젠', '안', '믿', '는다', 'ㅋㅋ']"
202,hate,"['ㅈ', 'ㅇ과', '이별', '아', '별']"
203,hate,"['ㅉㅉ', '아빠', '없이', '무슨', '친가', '뿌리', '족보', '제대로', '알려', '주', '키울', '걱정', '구먼']"
204,hate,"['ㅉㅉ', '하여간', '망하', '남', '탓', '보', '한국', '사람', '이래서', '안', '돼', '한국', '평생', '후진국', '대표', '적', '예', '로', '문', '재앙']"
205,offensive,"['ㅉㅉㅉ', '개인', '여행', '간걸', '머', '라고', '아니', '잖아', '굳이', '지금', '이렇게', '예민', '시기', '올린', '문제', '거']"
206,none,"['ㅉㅉㅉ', '서로', '원', '거', '충전', '얼마나', '갈지']"
207,none,"['ㅊㅈ', '만나', '나', '서', '많이', '바뀌', '긴', '했', '짘ㅋㅋ']"
208,offensive,"['ㅋ', '난', '키']"
209,offensive,"['ㅋㅋ', '주', '왠만', '병원', '에서', '스티커', '발부', '해준다']"
210,offensive,"['ㅋㅋ', '더럽', '진짜', 'ㅋㅋ']"
211,hate,"['ㅋㅋ', '문', '재앙', '이제', '박명수', '한테', '욕먹', 'ㅋㅋㅋ']"
212,offensive,"['ㅋㅋ', '시로마', '미', '루', '안', '된', '거', '부터', 'ㅆ', '주작', '었']"
213,hate,"['ㅋㅋ', '시', '선강', '싫', '다는', '언', '냐', '왜', '설리', '싫', '어', '냐', 'ㅋㅋ']"
214,none,"['ㅋㅋ', '역시', '화', '방영', '후', '말', '많', '참고', '로', '미스터', '션', '샤인', '화', '나오', '재미없', '다느니', '이해', '안', '간', '다느니', '말', '많', '았', '는데', 'ㅋㅋㅋ', '적어도', '회분', '량', '까진', '보고', '말']"
